Rank,Name,Symbol,Market Cap,Price,Circulating Supply,volume (24h),% 1h,% 24h,% 7d
47,Avalanche,AVAX,"$1,882,647,808.83",$10.92,"172,418,164 AVAX *","$34,727,227.77",0.93%,6.26%,-21.84%
48,Huobi Token,HT,"$1,738,023,861.10",$10.18,"170,704,593 HT *","$139,794,885.11",1.12%,4.03%,-14.75%
49,BitTorrent,BTT,"$1,646,108,267.11",$0.002494,"659,952,625,000 BTT *","$132,498,965.88",1.26%,4.44%,-14.56%
50,Decred,DCR,"$1,610,355,857.06",$123.27,"13,064,031 DCR","$41,602,998.52",-0.82%,6.00%,-1.73%
51,The Graph,GRT,"$1,615,745,940.28",$0.5576,"2,897,903,422 GRT *","$53,287,317.38",1.41%,2.53%,-13.11%
52,Hedera Hashgraph,HBAR,"$1,605,000,735.48",$0.1823,"8,805,028,673 HBAR *","$150,525,717.47",1.26%,2.37%,-5.75%
53,Kusama,KSM,"$1,506,970,495.76",$177.92,"8,470,098 KSM *","$154,000,140.75",0.61%,2.89%,-40.92%
54,Waves,WAVES,"$1,464,227,405.70",$13.88,"105,484,780 WAVES *","$96,559,144.40",0.94%,2.26%,-21.28%
55,THORChain,RUNE,"$1,420,840,187.32",$6.0762,"233,836,800 RUNE *","$82,259,499.39",5.15%,12.88%,-27.47%
56,TrueUSD,TUSD,"$1,432,853,717.03",$1.0006,"1,431,977,916 TUSD *","$70,420,762.70",-0.08%,-0.10%,-0.06%
57,Chiliz,CHZ,"$1,405,618,049.14",$0.2385,"5,893,953,727 CHZ *","$172,247,365.22",0.66%,3.07%,-17.25%
58,Compound,COMP,"$1,366,617,884.83",$257.16,"5,314,336 COMP *","$120,904,849.07",3.59%,14.20%,-12.42%
59,Dash,DASH,"$1,295,479,821.96",$127.00,"10,200,531 DASH","$336,668,224.54",0.91%,2.11%,-17.37%
60,Zcash,ZEC,"$1,294,852,917.77",$107.14,"12,085,150 ZEC","$266,185,414.87",1.37%,3.65%,-18.86%
61,Celsius,CEL,"$1,252,761,963.76",$5.2447,"238,863,520 CEL *","$26,295,894.33",0.50%,6.18%,-15.65%
62,Telcoin,TEL,"$1,197,365,970.53",$0.023,"52,057,110,195 TEL *","$13,169,388.90",0.17%,7.04%,-21.17%
63,Elrond,EGLD,"$1,163,644,159.15",$65.77,"17,692,270 EGLD *","$45,057,697.62",0.66%,3.37%,-18.36%
64,yearn.finance,YFI,"$1,105,527,633.04","$30,176.45","36,635 YFI *","$174,764,200.25",1.31%,5.34%,-16.38%
65,Holo,HOT,"$1,020,091,266.93",$0.005908,"172,673,864,848 HOT *","$77,904,393.59",0.04%,4.68%,-20.46%
66,NEM,XEM,"$1,013,451,362.48",$0.1126,"8,999,999,999 XEM *","$48,421,229.30",0.57%,4.55%,-21.10%
67,Helium,HNT,"$1,015,463,792.76",$11.54,"87,958,664 HNT","$9,632,714.70",1.58%,4.31%,-8.52%
68,Quant,QNT,"$998,429,480.50",$82.70,"12,072,738 QNT *","$16,009,794.71",-0.27%,1.48%,12.07%
69,SushiSwap,SUSHI,"$904,817,102.04",$7.1109,"127,244,443 SUSHI *","$168,882,081.86",-0.04%,4.18%,-15.73%
70,Paxos Standard,PAX,"$899,286,915.25",$1.0005,"898,832,073 PAX *","$73,683,381.74",-0.08%,-0.10%,-0.07%
71,Celo,CELO,"$849,793,378.53",$3.4582,"245,729,966 CELO *","$178,453,325.78",2.43%,-20.61%,48.71%
72,XinFin Network,XDC,"$839,817,413.35",$0.06841,"12,276,335,888 XDC","$7,315,692.92",0.23%,21.30%,-5.26%
73,Enjin Coin,ENJ,"$834,919,716.02",$1.0007,"834,331,121 ENJ *","$70,651,628.13",1.08%,5.40%,-20.20%
74,Zilliqa,ZIL,"$822,575,332.53",$0.072,"11,424,888,564 ZIL","$45,526,901.20",0.97%,2.94%,-24.93%
75,Basic Attention Token,BAT,"$809,204,654.11",$0.5403,"1,497,660,550 BAT *","$138,423,669.96",0.93%,6.05%,-9.81%
76,NEAR Protocol,NEAR,"$801,643,816.11",$1.9499,"411,111,293 NEAR *","$33,802,534.28",0.81%,3.39%,-32.62%
77,Mdex,MDX,"$802,042,944.07",$1.5937,"503,271,136 MDX *","$33,604,078.83",-0.93%,4.68%,-22.25%
78,Stacks,STX,"$792,335,851.65",$0.6874,"1,152,627,465 STX *","$12,284,722.66",0.87%,6.21%,-13.85%
79,Decentraland,MANA,"$780,115,123.10",$0.4936,"1,580,389,921 MANA *","$31,258,803.64",1.83%,5.28%,-20.97%
80,Synthetix,SNX,"$733,494,773.26",$6.3870,"114,841,533 SNX *","$42,667,024.09",2.05%,7.33%,-24.61%
81,Bitcoin Gold,BTG,"$715,259,928.20",$40.84,"17,513,924 BTG","$20,018,045.55",0.41%,6.37%,-21.58%
82,Nexo,NEXO,"$700,500,441.35",$1.2509,"560,000,011 NEXO *","$8,511,370.44",-1.23%,4.18%,-22.28%
83,Harmony,ONE,"$690,048,883.13",$0.06756,"10,214,146,276 ONE *","$62,210,737.45",0.23%,14.86%,-7.43%
84,HUSD,HUSD,"$695,965,928.73",$1.0004,"695,708,759 HUSD *","$94,034,764.30",-0.05%,-0.03%,-0.07%
85,Revain,REV,"$686,413,236.46",$0.00807,"85,061,485,690 REV *","$4,422,399.44",0.15%,0.33%,-26.91%
86,Bancor,BNT,"$671,384,074.40",$3.0555,"219,726,585 BNT *","$39,812,204.85",1.10%,6.63%,-13.69%
87,Horizen,ZEN,"$668,804,531.26",$59.51,"11,238,113 ZEN","$37,852,034.99",1.36%,5.92%,-24.14%
88,Nano,NANO,"$652,962,180.58",$4.9003,"133,248,297 NANO *","$24,950,831.45",0.94%,6.34%,-16.32%
89,DigiByte,DGB,"$614,861,519.40",$0.04258,"14,439,181,966 DGB","$19,440,782.59",0.75%,2.28%,-14.73%
